书名,作者,豆瓣,Goodreads,类,归属场景
法伯睡眠宝典(Solve Your Child's Sleep),理查德·法伯,8.0,3.91,B,parenting_baby
法律的概念,哈特(H.L.A. Hart),8.9,4.04,A,contract_review;legal_consulting
法律经济学,理查德·波斯纳,—,—,B,dispute_rights
法律解释方法,专著,—,—,B,contract_review
法理学,张文显,—,—,B,legal_consulting
法餐烹饪基础(Le Cordon Bleu),专著,—,—,B,cooking_recipe
注射美容并发症防治,—,—,—,B,skincare_beauty
洛克伍德-格林成人骨折,Rockwood & Green,—,—,B,family_doctor
洞穴奇案,彼得·萨伯,8.9(4403人),4.21,A,contract_review;dispute_rights;legal_consulting
活出生命的意义,维克多·弗兰克尔,8.7,4.36,A/G,mental_wellness
活动执行手册,—,—,—,B,event_planning
活动策划与项目管理,Event Planning,—,—,B,wedding_planning
活动策划全攻略,—,—,—,B,event_planning
活动策划完全手册,—,—,—,B,event_planning
活动策划实战全攻略,—,—,—,B,event_planning
活动预算与成本控制实务,—,—,—,B,event_planning
流体力学与传热,—,—,—,B,chemical_industry
流化床反应工程,—,—,—,B,chemical_industry
流量池,杨飞,7.3,—,B,ecommerce_ops;seo_growth
测土配方施肥技术,—,—,—,B,modern_agriculture
测试驱动开发(TDD by Example),Kent Beck,—,—,B,program_management
浪漫一代,查尔斯·罗森,9.2,4.27(G),A/G,music_learning
浪潮之巅,吴军,—,—,B,career_transition;electronics_semiconductor;industrialization
浮选,—,—,—,B,mining_extraction
海关 HS 编码与关税实务,专著,—,—,B,cross_border
海外仓运营与库存管理,专著,—,—,B,cross_border
海姆立克急救法图解,—,—,—,B,parenting_baby
海权论,阿尔弗雷德·马汉,8.5,3.79*,A,shipbuilding_marine
海洋工程概论,—,—,—,B,shipbuilding_marine
涂料工艺,—,—,—,B,chemical_industry
涂装技术,—,—,—,B,automotive
消费品质量与安全标准读本,—,—,—,B,gift_selection
消费心理与理性购物,—,—,—,B,skincare_beauty
消费心理学,专业教材,—,—,B,digital_office
消费欺诈识别与维权,专著,—,—,B,digital_office
消费电子选购指南,—,—,—,B,purchase_decision
消费纠纷裁判规则汇编,专著,—,—,B,dispute_rights
消费维权与餐饮投诉指引,,—,—,B,dining_recommendation
消费维权渠道指南,专著,—,—,B,dispute_rights
消费者协会工作实务,专著,—,—,B,dispute_rights
消费者投诉行为研究,专著,—,—,B,dispute_rights
消费者权益保护法(条文),法律出版社,—,—,B,digital_office
消费者权益保护法实务,—,—,—,B,gift_selection;home_organize;home_renovation
消费者权益保护法释义,法律出版社,—,—,B,dispute_rights
消费者行为学,—,—,—,B,agriculture;dining_recommendation;gift_selection
消费者购车决策与权益保护,—,—,—,B,car_purchase
消费金融与分期陷阱,—,—,—,B,purchase_decision
消防给水及消火栓系统技术规范 GB 50974,国标,—,—,B,construction_materials
液体火箭发动机,—,—,—,B,aerospace
液压传动,王积伟,—,—,B,machinery
淘系/抖系搜索与推荐机制,专著,—,—,B,ecommerce_ops
淮扬菜系,专著,—,—,B,cooking_recipe
深入浅出 SQL,Head First,—,—,B,data_analytics
深入浅出数据分析,Michael Milton,8.5,4.0,A,generic_consulting
深入浅出数据分析 Head First Data Analysis,Michael Milton,8.5,4.0,,generic_consulting
深入理解计算机系统(CSAPP),Bryant & O'Hallaron,9.5,—,A,digital_office
深度学习,Goodfellow 等,—,—,B,automotive
深度工作,卡尔·纽波特,—,—,B,career_transition
深度工作 Deep Work,卡尔·纽波特,7.5,4.16,G,grad_civil_exam;learning_planning
混凝土外加剂及其应用技术,专著,—,—,B,construction_materials
混凝土外加剂应用技术规范 GB 50119,国标,—,—,B,construction_materials
混凝土结构(上中下),东南/同济,—,—,B,construction_materials
混凝土结构工程施工规范 GB 50666,国标,—,—,B,construction_materials
混凝土结构工程施工质量验收规范 GB 50204,国标,—,—,B,construction_materials
混凝土结构设计原理,高校教材,—,—,B,construction_materials
混凝土结构设计规范 GB 50010,国标,—,—,B,construction_materials
混凝土质量控制标准 GB 50164,国标,—,—,B,construction_materials
混合动力汽车技术,—,—,—,B,automotive
清单革命,阿图·葛文德,—,—,B,_管理类共用书单;career_transition
清单革命 The Checklist Manifesto,阿图·葛文德,8.1,4.06,G,health_checkup
清真/犹太洁食饮食规范,,—,—,B,dining_recommendation
清醒思考的艺术,罗尔夫·多贝里,—,—,B,generic_consulting
温室工程学,—,—,—,B,agriculture
温湿度与光照控制,—,—,—,B,collectibles
温病条辨,吴鞠通,—,—,B,family_doctor
游戏力,劳伦斯·科恩,8.6,—,A,child_education;parenting_baby
游戏改变世界,简·麦戈尼格尔,8.0,4.0,G,event_planning
游戏改变世界 Reality Is Broken,简·麦戈尼格尔,8.0(G补),4.0,,event_planning
游戏机制:高级游戏设计技术,Adams & Dormans,—,—,B,board_game
游戏硬件与帧率优化,专著,—,—,B,digital_office
游戏设计艺术(第2版),Jesse Schell,9.2(908人),—,A,board_game;event_planning
漏斗分析与归因,专著,—,—,B,ecommerce_ops
演奏焦虑与心理调节,—,—,—,B,music_learning
演讲的力量(TED Talks),Chris Anderson,8.0,4.02,G,presentation_skills
漫步华尔街,马尔基尔,—,—,B,career_transition;collectibles;family_finance;stock_trading;tax_insurance
漫步华尔街 A Random Walk Down Wall Street,伯顿·马尔基尔,8.4(G补),4.14(4万人),,family_finance
激光与光电治疗学,—,—,—,B,skincare_beauty
激光雷达原理,—,—,—,B,automotive
激痛点疗法手册,—,—,—,B,fitness_plan
灌溉与水肥一体化,—,—,—,B,gardening
灌溉排水工程学,—,—,—,B,agriculture
灵活如豹,凯利·斯塔雷特,—,4.38,G,fitness_plan
灵活如豹 Becoming a Supple Leopard,凯利·斯塔雷特,—(G补),4.38(6400人),,fitness_plan
点石成金(Don't Make Me Think),Steve Krug,—,4.18,G,product_manager
炼钢学,—,—,—,B,metallurgy
炼铁学,—,—,—,B,metallurgy
炼铁工艺与设备,—,—,—,B,metallurgy
烂尾楼风险与保交楼,—,—,—,B,rent_buy_house
热力发电厂,—,—,—,B,energy_power
热处理工艺手册,—,—,—,B,machinery
热度与标签运营白皮书,平台官方,—,—,B,short_video
热管理系统设计,—,—,—,B,automotive
热轧带钢生产,—,—,—,B,metallurgy
热锅上的家庭,—,—,—,B,child_education
热障涂层技术,—,—,—,B,aerospace
烹饪原料学,专业教材,—,—,B,cooking_recipe
烹饪工艺学,高校教材,—,—,B,cooking_recipe
焊接工程,—,—,—,B,aerospace
焊接工艺,—,—,—,B,automotive
焊接方法与设备,—,—,—,B,machinery
煤矿安全规程,—,—,—,B,mining_extraction
照护者心理支持手册,—,—,—,B,elder_care
燃料电池技术,—,—,—,B,automotive
燃气轮机原理,—,—,—,B,energy_power
爆款文案,关健明,6.9,—,B,ecommerce_ops;seo_growth;short_video
爆款文案/自媒体写作方法论,综合,—,—,B,writing_polish
爆破工程,—,—,—,B,mining_extraction
爱和自由,孙瑞雪,8.6,—,A,child_education;parenting_baby
爱的五种语言,盖瑞·查普曼,—,—,B,child_education;gift_selection;mental_wellness
父母效能训练手册,托马斯·戈登,9.2,—,A,child_education
父母的语言,达娜·萨斯金德,8.4,4.06(G),G,parenting_baby
版面设计法则,综合,—,—,B,ui_ux_review
牛津书虫分级读物,牛津大学出版社,—,—,B,language_learning
物品:理解囤积症,兰迪·弗罗斯特,—,3.91,B,home_organize
物理冶金原理,—,—,—,B,metallurgy
特殊钢与高温合金,—,—,—,B,metallurgy
特种设备安全监察条例,—,—,—,B,chemical_industry
犬猫品种性格与遗传病图谱,—,—,—,B,pet_care
犬猫急诊与重症医学,—,—,—,B,pet_care
犬猫疾病学(小动物内科),—,—,—,B,pet_care
犬猫皮肤病学,—,—,—,B,pet_care
犬猫美容造型完全手册,—,—,—,B,pet_care
犬猫营养需求 NRC,NRC,—,—,B,pet_care
犬种标准造型图鉴,—,—,—,B,pet_care
狗:狗的起源、行为与演化,雷蒙德·科平格,8.5,3.97,,pet_care
狗:起源行为与演化,雷蒙德·科平格,8.5,3.97,A,pet_care
独立站(Shopify)运营实战,专著,—,—,B,cross_border
猫行为问题诊疗,帕姆·约翰逊-本奈特,—,—,B,pet_care
玉器辨伪,—,—,—,B,collectibles
王江涛考研英语高分写作,王江涛,—,—,B,learning_planning
现代临床营养学,—,—,—,B,chronic_disease
现代控制理论,—,—,—,B,aerospace
现代操作系统,Tanenbaum,8.6,—,A,digital_office
现代物流学,—,—,—,B,industrialization
现代营养学,Modern Nutrition,—,—,B,cooking_recipe;nutrition_fitness
现代造船模式(壳舾涂一体化),—,—,—,B,shipbuilding_marine
理想国,柏拉图(商务印书馆/郭斌和译),9.3,3.95,A,debate_speech
理论力学,哈工大,—,—,B,machinery
瓷器辨伪,—,—,—,B,collectibles
生产力工具与效率方法,专著,—,—,B,digital_office
生产计划与控制,—,—,—,B,automotive
生命价值法与需求分析法,—,—,—,B,insurance_planning
生态纺织与无水染色技术,—,—,—,B,textiles
生鲜电商运营,—,—,—,B,agriculture
用图表说话,Gene Zelazny,—,—,B,presentation_skills
用户体验度量,Tullis & Albert,—,—,B,product_manager;ui_ux_review
用户体验要素,Jesse James Garrett,8.3,—,B,product_manager;ui_ux_review
用户生命周期与 RFM 模型,专著,—,—,B,ecommerce_ops
用户生命周期管理(LTV),—,—,—,B,private_domain
由内而外的教养,丹尼尔·西格尔,—,—,B,child_education
甲状腺结节 TI-RADS 分级指南,—,—,—,B,health_checkup
申论范文与历年真题,主流机构,—,—,B,grad_civil_exam
电催化与光催化,—,—,—,B,chemical_industry
电力市场原理,—,—,—,B,energy_power
电力电子技术,—,—,—,B,automotive;energy_power
电力电子技术 Power Electronics,Ned Mohan,—(G补),4.21(154人),G,energy_power
电力系统分析,何仰赞,—,—,B,energy_power;industrialization
电力系统暂态分析,—,—,—,B,energy_power
电力系统稳态分析,—,—,—,B,energy_power
电力系统继电保护,—,—,—,B,energy_power
电动汽车原理与构造,—,—,—,B,automotive
电化学储能技术,—,—,—,B,energy_power
电商带货与广告合规规范,平台官方,—,—,B,short_video
电商数据分析与指标体系,专著,—,—,B,ecommerce_ops
电商运营实战,专著,—,—,B,ecommerce_ops
电商陷阱与套路解析,专著,—,—,B,digital_office
电声乐器与设备入门,—,—,—,B,music_learning
电子产品质量与可靠性,专著,—,—,B,digital_office
电子商务法,法律出版社,—,—,B,dispute_rights
电子数据取证与鉴定,专著,—,—,B,dispute_rights
电子证据法,专著,—,—,B,dispute_rights
电影镜头设计(分镜到银幕),Steven Katz,—,—,B,short_video
电机与拖动基础,—,—,—,B,automotive
电机学,汤蕴璆,—,—,B,energy_power
电气控制与 PLC 应用,—,—,—,B,machinery
电池安全标准(GB38031),—,—,—,B,automotive
电池循环寿命与衰减,专著,—,—,B,digital_office
电池管理系统(BMS),—,—,—,B,automotive;energy_power
电炉炼钢技术,—,—,—,B,metallurgy
留学费用与奖学金官方信息,院校/政府,—,—,B,study_abroad
畜产品加工学,—,—,—,B,agriculture
畜禽传染病学,—,—,—,B,agriculture
疯传,乔纳·伯杰,7.4,3.97,B,gift_selection
疯传 Contagious,乔纳·伯杰,—,—,B,writing_polish
疼痛的真相 Explain Pain,大卫·巴特勒 等,—,4.18,G,nutrition_fitness
疼痛的真相(Explain Pain),大卫·巴特勒 等,—,4.18(G),,nutrition_fitness
痛风及高尿酸血症饮食管理,,—,—,B,dining_recommendation
白布局,吴清源,9.7(50人),—,A,board_game
白帽子讲 Web 安全,吴翰清,—,—,B,program_management
皮肤病学,人卫教材,—,—,B,skincare_beauty
皮肤美容外科学,—,—,—,B,skincare_beauty
"盐,脂肪,酸,热",萨明·诺斯拉特,8.5,4.39,A,food_processing
"盐,脂肪,酸,热 Salt Fat Acid Heat",萨明·诺斯拉特,8.5,4.39(9.3万人),,food_processing
目标 The Goal,高德拉特,8.6,4.07,G,industrialization
相约星期二,米奇·阿尔博姆,8.5,4.13,A,elder_care
相约星期二 Tuesdays with Morrie,米奇·阿尔博姆,8.5,4.13,,elder_care
看不见的城市,伊塔洛·卡尔维诺,9.0(42603人),—,A,travel_deep;travel_planning
真实的幸福,塞利格曼,—,—,B,mental_wellness
睡眠医学(Principles & Practice),Kryger 等,—,—,B,sleep_health
睡眠医学理论与实践,Kryger,—,—,B,mental_wellness
睡眠卫生(Sleep Hygiene)指南,—,—,—,B,sleep_health
睡眠环境与睡眠质量研究综述,—,—,—,B,sleep_health
睡眠障碍国际分类 ICSD-3,AASM,—,—,B,sleep_health
睡眠革命,尼克·利特尔黑尔斯,7.6,3.66,B,mental_wellness;sleep_health
瞬间之美:Web 界面设计,Robert Hoekman,—,—,B,ui_ux_review
知识产权侵权损害赔偿裁判规则,—,—,—,B,legal_consulting
知识产权战略管理,—,—,—,B,ip_patent
知识产权法,吴汉东,—,—,B,contract_review;ip_patent;legal_consulting
知识产权海外布局与侵权应对,专著,—,—,B,cross_border
知识产权评估准则,—,—,—,B,ip_patent
知识产权诉讼与维权实务,—,—,—,B,ip_patent
知识付费产品设计,—,—,—,B,short_video
短视频与直播运营实务,专著,—,—,B,ecommerce_ops
短视频营销,—,—,—,B,agriculture
矿井瓦斯防治,—,—,—,B,mining_extraction
矿井通风与安全,—,—,—,B,mining_extraction
矿井防治水,—,—,—,B,mining_extraction
矿产勘查学,—,—,—,B,mining_extraction
矿区水土保持,—,—,—,B,mining_extraction
矿山固废资源化,—,—,—,B,mining_extraction
矿山安全工程,—,—,—,B,mining_extraction
矿山应急救援与避灾,—,—,—,B,mining_extraction
矿山机械,—,—,—,B,mining_extraction
矿山环境工程,—,—,—,B,mining_extraction
矿山电气与自动化,—,—,—,B,mining_extraction
矿山运输与提升,—,—,—,B,mining_extraction
矿床学,—,—,—,B,mining_extraction
研招网官方招生专业目录,教育部研招网,—,—,B,learning_planning
研招网政策文件汇编,教育部研招网,—,—,B,grad_civil_exam
研究方法论,教材,—,—,B,generic_consulting
研究生招生考试大纲,教育部,—,—,B,grad_civil_exam
碎矿与磨矿,—,—,—,B,mining_extraction
碰撞安全标准(C-NCAP),—,—,—,B,automotive
碳排放权交易概论,—,—,—,B,energy_power
碳达峰碳中和与钢铁行业,—,—,—,B,metallurgy
礼仪金说,金正昆,—,—,B,gift_selection
礼物:古式社会中交换的形式与理由,马塞尔·莫斯,9.0(1258人),3.94,A,gift_selection
礼物寓意与彩头习俗汇编,—,—,—,B,gift_selection
礼记(饮食礼仪篇),儒家经典,—,—,B,dining_recommendation;wedding_planning
社会保险法解读,—,—,—,B,legal_consulting
社会保障学,郑功成,—,—,B,elder_care;family_finance
社会心理学,戴维·迈尔斯,9.0,—,A,debate_speech;generic_consulting;gift_selection
社会研究方法,艾尔·巴比,—,—,B,generic_consulting
社保与商保衔接读本,—,—,—,B,insurance_planning
社群营销,—,7.7,—,B,private_domain
福格行为模型,BJ·福格,8.3,4.10,G,fitness_plan;home_organize;time_productivity
福格行为模型 Tiny Habits,BJ·福格,8.3(G补),4.10,,fitness_plan
离婚财产分割裁判规则,—,—,—,B,legal_consulting
私人洽购实务,—,—,—,B,collectibles
种子学,—,—,—,B,agriculture;modern_agriculture
科技考古学,—,—,—,B,collectibles
租赁与共享经济,—,—,—,B,purchase_decision
积分换酒店/里程兑换攻略,综合,—,—,B,travel_planning
税务稽查实务与案例,—,—,—,B,tax_insurance
税法,中国税务出版社教材,—,—,B,family_finance
稳定性研究(ICH Q1),ICH,—,—,B,pharma_biomfg
穷查理宝典,彼得·考夫曼 编,8.9,—,A,career_transition;collectibles;family_finance;generic_consulting;gift_selection;insurance_planning;ip_patent;purchase_decision;startup_advisory;stock_trading;tax_insurance
穷游锦囊系列,穷游网,—,—,B,travel_deep;travel_planning
空气调节,电子工业,—,—,B,construction_materials
穿搭有术,—,—,—,B,fashion_styling
竞争优势,迈克尔·波特,—,—,B,stock_trading
竞争战略,迈克尔·波特,—,—,B,career_transition;generic_consulting;ip_patent
竞争战略 Competitive Strategy,迈克尔·波特,8.4(G补),4.05,G,generic_consulting;startup_advisory;stock_trading
童年的秘密,蒙台梭利,8.56,—,A,child_education
第三餐盘,丹·巴伯,8.7,4.25(G),A/G,modern_agriculture
第二曲线创新,查尔斯·汉迪,—,—,B,career_transition
第二次机器革命,布莱恩约弗森,8.0,4.0,G,generic_consulting;industrialization
第二次机器革命 The Second Machine Age,布莱恩约弗森,8.0(G补),4.0,,generic_consulting
第二语言习得概论,Rod Ellis,—,—,B,language_learning
第五项修炼,彼得·圣吉,,,,_管理类共用书单
第四次工业革命,克劳斯·施瓦布,7.4,3.56,B,industrialization
策略思维,迪克西特/奈尔伯夫,8.4,—,B,board_game
签证材料清单与表格(DS-160/I-20/CAS/CoE),各国官方,—,—,B,study_abroad
简单的逻辑学,D.Q. McInerny,7.2,3.90,B,debate_speech
简历写作实战,—,—,—,B,resume_interview
简约至上(第2版),贾尔斯·科尔伯恩,8.5(560人),—,A,ui_ux_review
管教恶猫,杰克逊·盖勒克西,8.1,3.98,A,pet_care
管理会计,—,—,—,B,agriculture
管理的实践,彼得·德鲁克,,,,_管理类共用书单
米其林必比登平价榜,米其林,—,—,B,travel_planning
米其林指南(年度),米其林,—,—,B,dining_recommendation;travel_deep;travel_planning
米其林绿色指南,米其林,—,—,B,travel_deep;travel_planning
米勒麻醉学,Miller's,—,—,B,family_doctor
类似商品和服务区分表(尼斯分类),—,—,—,B,ip_patent
粤菜烹饪,专著,—,—,B,cooking_recipe
粮食安全与国家战略,—,—,—,B,modern_agriculture
粮食安全政策,—,—,—,B,agriculture
精准农业,—,—,—,B,agriculture
精准农业导论,—,—,—,B,modern_agriculture
精准拉伸,—,8.5,—,A,nutrition_fitness
精力管理,吉姆·洛尔/托尼·施瓦茨,—,—,B,time_productivity
精密与超精密加工技术,—,—,—,B,aerospace
精益供应链,—,—,—,B,automotive
精益创业,埃里克·莱斯,—,—,B,career_transition
精益创业 The Lean Startup,埃里克·莱斯,8.4,4.07,G,industrialization;startup_advisory
精益数据分析,Croll & Yoskovitz,—,—,B,product_manager
精益数据分析 Lean Analytics,Croll & Yoskovitz,—,4.10,G,startup_advisory
精益生产,—,—,—,B,automotive
精神科急诊处理指南,—,—,—,B,mental_wellness
精细化工概论,—,—,—,B,chemical_industry
精细有机合成原理及技术,—,—,—,B,chemical_industry
精装房验收清单,—,—,—,B,rent_buy_house
精馏过程与设备,—,—,—,B,chemical_industry
糖尿病慢性并发症诊治,—,—,—,B,chronic_disease
糖尿病肾病诊疗,—,—,—,B,chronic_disease
糖尿病视网膜病变筛查,—,—,—,B,chronic_disease
糖尿病足防治,—,—,—,B,chronic_disease
系统之美,德内拉·梅多斯,8.2,4.18,G,generic_consulting
系统之美 Thinking in Systems,德内拉·梅多斯,8.2(G补),4.18,,generic_consulting
系统安全性分析 SAE ARP4761,—,—,—,B,aerospace
紫砂壶鉴赏,—,—,—,B,collectibles
纤维化学与物理,蔡再生 等,—,—,B,textiles
纤维成分定性定量分析(FZ/T),行业标准,—,—,B,textiles
纪念品与伴手礼设计,—,—,—,B,event_planning
纳瓦尔宝典,Eric Jorgenson,8.3,—,B,career_transition
纳税筹划,—,—,—,B,family_finance
纳米催化材料,—,—,—,B,chemical_industry
纸质/书画文物保护,—,—,—,B,collectibles
纺纱学,郁崇文 等,—,—,B,textiles
纺织品检测与质量控制,—,—,—,B,textiles
纺织品鉴别与选购,—,—,—,B,fashion_styling
纺织机械设计原理,—,—,—,B,textiles
纺织材料学,于伟东,—,—,B,textiles
纺织概论,—,—,—,B,textiles
纺织自动化与智能制造,—,—,—,B,textiles
线性系统理论,—,—,—,B,aerospace
组织行为学,斯蒂芬·罗宾斯,,,,_管理类共用书单
细胞培养技术,—,—,—,B,pharma_biomfg
终结糖尿病,乔尔·福尔曼,9.2,—,A,chronic_disease
终身成长,卡罗尔·德韦克,7.5,—,B,_管理类共用书单;career_transition;mental_wellness;music_learning
终身成长 Mindset,卡罗尔·德韦克,8.1,4.09,G,grad_civil_exam;learning_planning;mental_wellness;music_learning
经济发展理论,熊彼特,8.4,3.90,B,industrialization
经济法学,漆多俊,—,—,B,contract_review
结构力学,龙驭球,—,—,B,construction_materials
结构思考力,李忠秋,—,—,B,presentation_skills
统计学,贾俊平,—,—,B,generic_consulting
统计学习基础(ESL),Hastie 等,—,—,B,prompt_engineering
统计学习方法,李航,—,—,B,data_analytics;generic_consulting
统计学的世界,戴维·S·穆尔,8.8(784人),4.10,A,data_analytics
统计推断(Statistical Inference),Casella & Berger,—,—,B,data_analytics
统计过程控制 SPC,—,—,—,B,machinery
统计陷阱,达莱尔·哈夫,—,—,B,generic_consulting
继承法律实务,—,—,—,B,elder_care
维修性工程,—,—,—,B,aerospace
维基百科可靠来源与可验证性方针,Wikipedia,—,—,B,writing_polish
绿色化学(Green Chemistry),Anastas,—,—,B,chemical_industry
绿色建筑评价标准 GB/T 50378,国标,—,—,B,construction_materials
绿色矿山建设规范,—,—,—,B,mining_extraction
缓控释制剂技术,—,—,—,B,pharma_biomfg
编剧的艺术,拉约什·埃格里,—,—,B,short_video
网站分析实战,王彦平/吴盛锋,—,—,B,seo_growth;short_video
网络安全法详解,专著,—,—,B,contract_review
罗森急诊医学,Rosen's,—,—,B,family_doctor
罗马法原论,周枏,—,—,B,contract_review
置身事内,兰小欢,9.1,—,A,rent_buy_house
置身事内:中国政府与经济发展,兰小欢,9.1(理解地方财政/土地财政),—,A,rent_buy_house
美丽圣经,Paula Begoun,—,—,B,skincare_beauty
美国 TSCA 化学品管理,—,—,—,B,chemical_industry
美国儿科学会育儿百科(第7版),美国儿科学会,9.2,—,A,child_education;parenting_baby
美国纽约摄影学院摄影教材(上),NYIP,9.1(1.1万人),—,A,photography
美国纽约摄影学院教材,NYIP,—,—,B,wedding_planning
美国药典(USP),USP,—,—,B,pharma_biomfg
翻新机/二手机鉴别手册,专著,—,—,B,digital_office
老人与海(作家榜版),欧内斯特·海明威,8.9(1.1万人),3.81,A,gift_selection
老年人合理用药,—,—,—,B,chronic_disease
老年人权益保障法释义,—,—,—,B,elder_care
老年人运动指导,—,—,—,B,chronic_disease
老年医学,人卫教材,—,—,B,elder_care
老年心理学,教材,—,—,B,elder_care
老年急症识别与处理,—,—,—,B,elder_care
老年护理学,人卫教材,—,—,B,elder_care
老年综合评估(CGA)实务,—,—,—,B,elder_care
老饕漫笔,,—,—,B,dining_recommendation
考研复试英语口语与专业课指南,—,—,—,B,grad_civil_exam
考研政治大纲解析,肖秀荣系列,—,—,B,grad_civil_exam
考研数学复习全书,李永乐/张宇,—,—,B,grad_civil_exam
考研英语历年真题(黄皮书),张剑,—,—,B,grad_civil_exam
考研英语黄皮书(历年真题),张剑,—,—,B,learning_planning
考试脑科学,池谷裕二,8.1,—,B,grad_civil_exam;language_learning;learning_planning
耕作学,—,—,—,B,agriculture
聂卫平围棋教程(从入门到15级),聂卫平,—,—,B,board_game
聆听音乐(How to Listen to Music),克雷格·莱特,9.0,4.27(G),A/G,music_learning
职业健康与粉尘防治,—,—,—,B,mining_extraction
职业锚理论,埃德加·沙因,—,—,B,career_transition
聪明的投资者,格雷厄姆,—,—,B,career_transition;collectibles;family_finance;stock_trading;tax_insurance
肌肉与力量全书,马克·瑞比托 等,8.5,4.16(G),A/G,nutrition_fitness
肌肉骨骼系统检查与评估,—,—,—,B,nutrition_fitness
肖秀荣考研政治精讲精练,肖秀荣,—,—,B,learning_planning
肠内肠外营养,—,—,—,B,chronic_disease
股权架构与员工期权(ESOP),—,—,—,B,startup_advisory
股权激励个人所得税征管规定,财税文件,—,—,B,tax_insurance
股权设计与公司治理,—,—,—,B,legal_consulting
股票作手回忆录,埃德温·勒菲弗,8.7,4.16,A,family_finance;stock_trading
肥料学,—,—,—,B,agriculture;gardening;modern_agriculture
肺结节诊治中国专家共识,—,—,—,B,health_checkup
肿瘤标志物临床应用专家共识,—,—,—,B,health_checkup
背景调查规范,—,—,—,B,resume_interview
胶囊衣橱实践指南,—,—,—,B,fashion_styling
能力陷阱,埃米尼亚·伊贝拉,—,—,B,career_transition
能源与文明,瓦茨拉夫·斯米尔,8.7,4.13,A,energy_power
能源与文明 Energy and Civilization,瓦茨拉夫·斯米尔,8.7,4.13,,energy_power
能源技术经济学,—,—,—,B,industrialization
能源经济学,—,—,—,B,energy_power
脾胃论,李东垣,—,—,B,family_doctor
自制宠物鲜食营养指南,—,—,—,B,pet_care
自动控制原理,胡寿松,—,—,B,aerospace;machinery
自动驾驶仿真测试,—,—,—,B,automotive
自动驾驶汽车技术,—,—,—,B,automotive
自控力,凯利·麦格尼格尔,—,—,B,fitness_plan;grad_civil_exam;home_organize;language_learning;nutrition_fitness
自杀论,埃米尔·涂尔干,8.6,3.93,A,mental_wellness
自杀风险评估 C-SSRS 手册,哥伦比亚,—,—,B,mental_wellness
自然光摄影,—,—,—,B,photography
自驱型成长,威廉·斯蒂克斯鲁德 等,8.6,—,A,child_education;learning_planning
臭鼬工厂回忆录,本·里奇 等,9.0,—,A,aerospace
至味在人间,陈晓卿,7.9,—,B,dining_recommendation;travel_deep;travel_planning
舌尖上的中国(图书版),,—,—,B,dining_recommendation
舞台音响灯光基础,—,—,—,B,event_planning
航空发动机原理,—,—,—,B,aerospace
航空发动机气动热力学,—,—,—,B,aerospace
航空材料学,—,—,—,B,aerospace
航空航天工程导论,—,—,—,B,aerospace
船体强度与结构设计,—,—,—,B,shipbuilding_marine
船舶制造工艺学,—,—,—,B,shipbuilding_marine
船舶动力装置原理与设计,—,—,—,B,shipbuilding_marine
船舶原理(上/下册),盛振邦/刘应中,—,—,B,shipbuilding_marine
船舶涂装技术(IMO PSPC),—,—,—,B,shipbuilding_marine
船舶电力推进系统,—,—,—,B,shipbuilding_marine
船舶结构力学,—,—,—,B,shipbuilding_marine
船舶设计原理,林焰 等,—,—,B,shipbuilding_marine
色彩与脸型分析手册,—,—,—,B,skincare_beauty
色彩与花境设计,—,—,—,B,gardening
色彩搭配原理与技巧,—,—,—,B,fashion_styling
色彩的秘密生活,卡西亚·圣克莱尔,8.0(边缘),—,B,fashion_styling
色彩设计的原理,伊达千代,—,—,B,home_renovation
艺术品交易法律实务,—,—,—,B,collectibles
艺术品价格指数解读,—,—,—,B,collectibles
艺术品保险与质押,—,—,—,B,collectibles
艺术品市场学,—,—,—,B,collectibles
艺术品投资学,—,—,—,B,collectibles
艺术品金融,—,—,—,B,collectibles
艺术经济学,—,—,—,B,collectibles
艺术金融与资产配置,—,—,—,B,collectibles
艾略特波浪理论,普莱切特/弗罗斯特,—,—,B,stock_trading
节令食物典故,,—,—,B,dining_recommendation
节水灌溉技术,—,—,—,B,agriculture
芝加哥格式手册,The Chicago Manual of Style,—,—,B,writing_polish
芯片战争,余盛,8.4,—,A,electronics_semiconductor;industrialization
芯片战争 Chip War,余盛,"8.4(2799人,G补)",—,,electronics_semiconductor
芯片浪潮,—,—,—,B,electronics_semiconductor
芯片简史,汪波,8.8(2020人),—,A,electronics_semiconductor
花卉栽培学,教材,—,—,B,gardening
花园设计指南,—,—,—,B,gardening
苏格拉底诘问法,专著,—,—,B,debate_speech
苹果/安卓/Windows 生态对比,专著,—,—,B,digital_office
药剂学,人卫教材,—,—,B,pharma_biomfg
药品注册管理办法,NMPA,—,—,B,pharma_biomfg
药品生产质量管理规范(GMP/cGMP),NMPA/FDA/EU,—,—,B,pharma_biomfg
药品管理法,全国人大,—,—,B,pharma_biomfg
药物化学,人卫教材,—,—,B,pharma_biomfg
药物合成反应,闻韧,—,—,B,pharma_biomfg
药物相互作用,—,—,—,B,chronic_disease
药物递送系统(DDS),—,—,—,B,pharma_biomfg
药理学,人卫教材,—,—,B,chronic_disease
菊与刀,鲁思·本尼迪克特,—,—,B,travel_deep;travel_planning
菜单设计与餐标核算指南,综合,—,—,B,wedding_planning
营养与睡眠专题,—,—,—,B,sleep_health
营养与食品卫生学,—,—,—,B,chronic_disease
